peninsular_rank,state,district,code_state_district,population,pop_cagr,youth_share,household_total,housing_total,household_size_avg,area_km2,income_mean,income_median,expenditure_mean,gini,poverty,pop_density,demand_index,n_7-Eleven,n_99 Speedmart,n_FamilyMart,n_KKmart,n_myNEWS,kkmart_count,total_stores,competitor_count,stores_per_100k,kkmart_per_100k,kkmart_share,saturation_ratio,saturation_level,supply_index,whitespace_score,category,region,saturation_vs_peninsular,headroom_to_par,kkmart_fair_gap
60,Johor,Pontian,1_7,177900.0,0.0065708433749513,0.4367622259696458,42519.0,46692.0,4.0,933,6913,5616,4535,0.36093,5.1,190.67524115755623,0.1498,12,17,3,4,0,4,36,32,20.24,2.25,0.111,0.899,balanced,0.3336,-0.1838,competitive,South,0.781,10,1
61,Selangor,Sabak Bernam,10_6,110300.0,0.0073873903241969,0.4097914777878513,28398.0,33750.0,3.7,1004,6930,5533,5128,0.32091,5.3,109.86055776892432,0.1386,5,13,2,1,1,1,22,21,19.95,0.91,0.045,0.886,balanced,0.3288,-0.1902,competitive,Central/East Coast,0.77,7,2
62,Negeri Sembilan,Kuala Pilah,5_2,72300.0,0.0070377318394336,0.4398340248962656,18715.0,24008.0,3.5,1027,4509,3471,3567,0.34594,6.8,70.39922103213243,0.1061,2,10,1,0,0,0,13,13,17.98,0.0,0.0,0.799,balanced,0.2964,-0.1903,low_demand,Central/East Coast,0.694,6,2
63,Perak,Kinta,8_3,923300.0,0.0095659566686172,0.3917469944763349,244648.0,285237.0,3.5,1305,6308,5037,4383,0.35771,3.8,707.5095785440614,0.3055,88,129,16,33,14,33,280,247,30.33,3.57,0.118,1.347,saturated,0.4999,-0.1944,saturated,North,1.171,-41,8
64,Johor,Tangkak,1_10,169500.0,0.0092050443109792,0.4454277286135693,38178.0,43438.0,4.1,977,7093,5622,4198,0.37081,6.9,173.49027635619242,0.1447,8,21,2,4,0,4,35,31,20.65,2.36,0.114,0.917,balanced,0.3404,-0.1957,competitive,South,0.797,9,1
65,Pahang,Jerantut,6_3,100000.0,0.0102577523383116,0.423,22278.0,26579.0,4.3,7561,4537,3781,3326,0.28984,8.6,13.22576378785875,0.1006,6,11,1,0,0,0,18,18,18.0,0.0,0.0,0.8,balanced,0.2967,-0.1961,low_demand,Central/East Coast,0.695,8,3
66,Pahang,Temerloh,6_8,177900.0,0.0129133868043485,0.403035413153457,42269.0,52014.0,4.0,2251,5180,4283,3580,0.29052,6.6,79.03154153709463,0.1189,17,16,2,0,0,0,35,35,19.67,0.0,0.0,0.874,balanced,0.3242,-0.2053,competitor_led,Central/East Coast,0.759,11,5
67,Perak,Kuala Kangsar,8_5,180000.0,0.0054912306870735,0.4183333333333333,49186.0,55199.0,3.6,2562,5176,3813,3488,0.39084,13.0,70.2576112412178,0.1192,8,23,2,3,0,3,36,33,20.0,1.67,0.083,0.888,balanced,0.3297,-0.2105,competitive,North,0.772,11,2
68,Perak,Bagan Datuk,8_12,83400.0,0.0018066920984376,0.4640287769784172,23534.0,20263.0,3.4,974,5160,4076,3150,0.36109,12.4,85.62628336755647,0.1052,4,10,1,1,0,1,16,15,19.18,1.2,0.062,0.852,balanced,0.3161,-0.2109,low_demand,North,0.74,6,1
69,Negeri Sembilan,Jempol,5_7,131300.0,0.0079625665502056,0.3769992383853769,32294.0,36982.0,3.9,1485,4848,3830,3608,0.33117,8.0,88.41750841750842,0.0975,8,15,2,0,0,0,25,25,19.04,0.0,0.0,0.846,balanced,0.3138,-0.2163,low_demand,Central/East Coast,0.735,9,4
70,Melaka,Alor Gajah,4_1,260500.0,0.0109456773444449,0.4898272552783109,67558.0,71937.0,3.6,674,7235,5611,5338,0.34311,4.8,386.4985163204748,0.2129,16,34,6,8,4,8,68,60,26.1,3.07,0.118,1.159,balanced,0.4302,-0.2173,competitive,South,1.008,-1,2
71,Selangor,Ulu Selangor,10_9,258100.00000000003,0.0151855623627323,0.4184424641611778,60666.0,89865.0,4.0,1749,8779,7678,4604,0.29704,1.7,147.57004002287022,0.1663,13,37,4,7,0,7,61,54,23.63,2.71,0.115,1.05,balanced,0.3895,-0.2232,competitive,Central/East Coast,0.912,6,2
72,Selangor,Kuala Langat,10_3,326300.0,0.0150286544938587,0.4091326999693533,79890.0,95799.0,3.7,855,11048,10093,5621,0.27733,0.3,381.6374269005848,0.2054,25,43,5,12,1,12,86,74,26.36,3.68,0.14,1.171,balanced,0.4345,-0.2291,competitive,Central/East Coast,1.018,-1,1
73,Pahang,Kuantan,6_4,571300.0,0.0104641651062324,0.4120427096096621,145270.0,154355.0,3.8,2960,6938,5926,4724,0.30639,4.1,193.0067567567568,0.2316,87,54,10,13,0,13,164,151,28.71,2.28,0.079,1.275,saturated,0.4732,-0.2416,saturated,Central/East Coast,1.108,-16,11
74,Johor,Segamat,1_8,205100.0,0.0091014803347257,0.4509995124329595,52855.0,65038.0,3.6,2867,6578,5318,4426,0.33996,7.4,71.53819323334496,0.1585,21,24,3,2,2,2,52,50,25.35,0.98,0.038,1.126,balanced,0.4178,-0.2593,competitive,South,0.979,1,6
75,Selangor,Kuala Selangor,10_4,298400.0,0.014502199517604,0.4185656836461126,76447.0,88913.0,3.9,1187,9410,7644,5543,0.34646,2.8,251.39005897219883,0.199,19,41,8,13,2,13,83,70,27.82,4.36,0.157,1.236,saturated,0.4585,-0.2595,saturated,Central/East Coast,1.074,-6,0
76,Perak,Larut Dan Matang,8_6,278200.0,0.0078811189181544,0.3770668583752696,70995.0,85931.0,3.7,1341,5400,4029,3798,0.36465,9.2,207.4571215510813,0.1358,22,41,2,0,2,0,67,67,24.08,0.0,0.0,1.07,balanced,0.3969,-0.2611,competitor_led,North,0.93,5,10
77,Johor,Mersing,1_5,81100.0,0.0091448897061348,0.4414303329223181,20673.0,21815.0,3.6,2857,5426,4445,4032,0.33877,12.7,28.38641932096605,0.1192,7,9,0,0,3,0,19,19,23.43,0.0,0.0,1.041,balanced,0.3862,-0.267,competitor_led,South,0.904,2,3
78,Melaka,Jasin,4_2,156400.0,0.0073253043595267,0.4533248081841431,39361.0,51148.0,3.7,679,7145,5895,5005,0.33157,5.5,230.3387334315169,0.1637,11,27,2,3,0,3,43,40,27.49,1.92,0.07,1.221,saturated,0.4531,-0.2894,saturated,South,1.061,-2,3
79,Melaka,Melaka Tengah,4_3,630100.0,0.0135393209535241,0.4365973654975401,160155.0,196668.0,3.6,359,8593,6557,6015,0.38301,3.7,1755.1532033426183,0.3199,90,89,19,28,12,28,238,210,37.77,4.44,0.118,1.678,saturated,0.6225,-0.3026,saturated,South,1.458,-75,7
80,Perak,Hilir Perak,8_7,141900.0,-0.0001761028508882,0.4178999295278364,34663.0,43865.0,3.8,821,5203,4199,3386,0.3904,14.8,172.8380024360536,0.1054,11,20,1,3,2,3,37,34,26.07,2.11,0.081,1.158,balanced,0.4297,-0.3243,low_demand,North,1.006,0,2
81,Negeri Sembilan,Seremban,5_5,712700.0,0.0072867165600474,0.4310369019222674,185707.0,224691.0,3.7,954,7900,6384,5225,0.3543,3.0,747.0649895178198,0.2912,86,117,17,36,11,36,267,231,37.46,5.05,0.135,1.664,saturated,0.6174,-0.3262,saturated,Central/East Coast,1.446,-82,3
82,Perak,Manjung,8_2,255000.0,0.0080006375435044,0.4231372549019607,62890.0,89450.0,3.8,1126,6318,5135,3912,0.35358,3.8,226.46536412078152,0.1497,21,42,5,5,1,5,74,69,29.02,1.96,0.068,1.289,saturated,0.4783,-0.3286,saturated,North,1.12,-8,6
83,Perak,Muallim,8_11,79300.0,0.0083689303992957,0.5548549810844893,21282.0,20528.0,3.4,949,6122,5015,4374,0.35908,9.2,83.56164383561644,0.168,10,10,2,2,0,2,24,22,30.26,2.52,0.083,1.344,saturated,0.4988,-0.3308,saturated,North,1.168,-3,1
